peninsular_rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,n_7-Eleven,n_99 Speedmart,n_FamilyMart,n_KKmart,n_myNEWS,kkmart_count,total_stores,competitor_count,stores_per_100k,kkmart_per_100k,kkmart_share,saturation_ratio,saturation_level,supply_index,whitespace_score,category,region,saturation_vs_peninsular,headroom_to_par,kkmart_fair_gap
37,Kedah,Kulim,2_6,352200.0,0.0105657445674463,0.4293015332197615,80772.0,93407.0,4.1,774,5636,4498,3647,0.35851,11.4,455.0387596899225,0.1716,11,38,4,0,0,0,53,53,15.05,0.0,0.0,0.669,balanced,0.2481,-0.0765,competitor_led,North,0.581,38,8
38,Kedah,Langkawi,2_7,99900.0,0.0150652638292441,0.4204204204204204,25983.0,33025.0,3.6,526,6087,5250,3680,0.30215,5.7,189.9239543726236,0.1163,12,0,0,0,0,0,12,12,12.01,0.0,0.0,0.534,balanced,0.198,-0.0817,low_demand,North,0.464,14,2
39,Kedah,Pokok Sena,2_12,51000.0,0.0059704144739074,0.4235294117647059,12091.0,15249.0,3.7,244,5494,4668,4033,0.31026,7.2,209.01639344262296,0.1081,2,3,1,0,0,0,6,6,11.76,0.0,0.0,0.522,balanced,0.1938,-0.0857,low_demand,North,0.454,7,1
40,Johor,Kota Tinggi,1_4,233800.0,0.0125755370052216,0.4401197604790419,57786.0,70315.0,3.7,3489,7529,6227,4498,0.34335,5.0,67.01060475781026,0.1639,13,14,3,5,1,5,36,31,15.4,2.14,0.139,0.684,balanced,0.2538,-0.0899,competitive,South,0.594,25,0
41,Pulau Pinang,Seberang Perai Tengah,7_1,443200.0,0.0117305081389171,0.4433664259927798,106330.0,78402.0,3.9,238,8056,6220,5008,0.37729,2.4,1862.18487394958,0.2602,28,48,10,7,2,7,95,88,21.44,1.58,0.074,0.952,balanced,0.3534,-0.0932,competitive,North,0.828,20,7
42,Kedah,Kuala Muda,2_4,571400.0,0.0118961264843482,0.431921596079804,131802.0,166581.0,3.9,913,5624,4200,3840,0.40406,13.8,625.8488499452355,0.2263,39,59,8,2,4,2,112,110,19.6,0.35,0.018,0.871,balanced,0.3231,-0.0968,competitive,North,0.757,36,14
43,Pulau Pinang,Barat Daya,7_5,248300.0,0.0109667785789833,0.4265002013693113,70167.0,89816.0,3.3,175,9254,7247,6003,0.35685,1.4,1418.857142857143,0.2283,25,10,7,4,4,4,50,46,20.14,1.61,0.08,0.895,balanced,0.332,-0.1037,competitive,North,0.777,14,3
44,Johor,Batu Pahat,1_1,510400.0,0.0075360271015536,0.4416144200626959,116252.0,129486.0,4.0,1966,7419,6347,4570,0.3383,5.1,259.6134282807731,0.221,30,55,6,9,3,9,103,94,20.18,1.76,0.087,0.896,balanced,0.3326,-0.1116,competitive,South,0.779,29,6
45,Pahang,Rompin,6_9,102900.0,0.0120141662794717,0.4207968901846452,27110.0,33471.0,3.6,5247,5103,4148,3695,0.32902,12.0,19.611206403659235,0.1112,6,8,0,0,0,0,14,14,13.61,0.0,0.0,0.605,balanced,0.2243,-0.1131,low_demand,Central/East Coast,0.525,13,2
46,Perak,Selama,8_13,35200.0,0.0057639274291687,0.3977272727272727,9489.0,11580.0,3.6,774,4439,3673,3150,0.29903,5.3,45.47803617571059,0.0727,1,2,1,0,0,0,4,4,11.36,0.0,0.0,0.505,balanced,0.1872,-0.1145,low_demand,North,0.439,5,1
