Name ,Address,Latitude,Longitude
FAMILYMART Melaka Raya,"258, Jalan Melaka Raya 3, Taman Melaka Raya, 75000 Melaka",2.1878523,102.2533478
FAMILYMART Plaza Sentral,"Unit 3A-G Ground Floor, Block 3A, Plaza Sentral, Jalan Stesen Sentral 5, KL Sentral, 50470-Kuala Lumpur",3.1323673,101.6843387
FAMILYMART Caltex Taman Puteri Wangsa,"Lot B, No.2, Jalan Beladau 31, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor",1.5904403,103.8018325
FAMILYMART Waterfront @ Desa Park City,"GF-21H, Ground Floor, The Waterfront@ParkCity, No.5, Persiaran Residen, Desa Park City, 52200 Kuala Lumpur",3.1869487,101.6277335
"FAMILYMART Gravity Green, Bandar Seri Alam","Gravity Green, Bandar Seri Alam, Masai Gravity Green @ Bandar Seri Alam, Jalan Suria, Bandar Baru Seri Alam, 81750 Masai, Johor",1.4962035,103.8728633
FAMILYMART LRT Ampang Park,"K3- Concourse Level, LRT Ampang Park Station, Kuala Lumpur",3.15985,101.71913
FAMILYMART Bukit Beruang,"658F-G, Jalan Delima, Taman Bukit Melaka, Hang Tuah Jaya, 75450 Ayer Keroh, Melaka",2.2463291,102.2740218
FAMILYMART KLSMC,"G-01A, Ground Floor, Wisma Perintis, 47, Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur",3.152269,101.6653741
FAMILYMART Caltex Jalan Skudai,"GM 679, Lot 1283, Mukim Of Pulai, Tempat Batu 8, Jalan Skudai, 81300 Johor Bahru, Johor",1.5286218,103.6705535
FAMILYMART Menara UOA Bangsar,"Unit 1-3A, 5, Jalan Bangsar Utama 1, Taman Bangsar, 59000 Kuala Lumpur",3.1277923,101.6782089
FAMILYMART KSL City,"No LG-039, Lower Ground Floor, KSL CITY, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor",1.4858456,103.762422
FAMILYMART Mahkota Parade,"Lot G11, Ground Floor, Mahkota Parade, No.1, Jalan Merdeka, 75000 Melaka",2.1897989,102.2518776
FAMILYMART Petron Setia Impian,"No 2, Persiaran Setia Impian Bandar Setia Alam, Section U13, 40170 Shah Alam, Selangor",3.1017478,101.4450395
FAMILYMART Toppen,"G01, TOPPEN Shopping Centre, No.33, Jalan Harmonium, Taman Desa Tebrau, 81100 Johor Bahru, Johor",1.553661,103.7976316
FAMILYMART Nu Sentral (Expansion),"G39 & G40, Level Ground Floor, Nu Sentral Shopping Centre, Jalan Tun Sambanthan, Kuala Lumpur",3.1328277,101.6873496
FAMILYMART Taman Ungku Tun Aminah,"No.2, Jalan Pendekar 13, Taman Ungku Tun Aminah, 81300 Skudai, Johor",1.5138963,103.6537589
FAMILYMART Caltex Bandar Puteri Klang,"No. M, Lot 133826, Lebuh Sanggul 1/KS7, Bandar Puteri, 41200 Klang, Selangor",2.9885167,101.4694512
FAMILYMART Senai Centrepoint,"No 32G, Jalan Terminal 5, 81400 Senai, Johor",1.6060675,103.6478418
FAMILYMART Porto Historia (Expansion),"No. 10, Jalan KLJ 8, Taman Kota Laksamana Jaya, 75200 Melaka",2.1991605,102.2305149
"FAMILYMART Prima Avenue, Cyberjaya","Prima 4, Jalan Teknokrat 5, 63000 Cyberjaya",2.9162609,101.6541978
FAMILYMART Batu Berendam,"No. 36, Jalan Mutiara Melaka 2, Taman Mutiara, 75350 Batu Berendam, Melaka",2.2381593,102.2606701
FAMILYMART Lagenda Melaka,"35, Jalan Lagenda 1, Taman 1 Lagenda  Melaka",2.2144631,102.2446863
FAMILYMART Kebun Teh,"No. 20(GF), Jalan Kebun Teh 1, Pusat Perdagangan Kebun Teh, 80250 Johor Bahru, Johor",1.4857879,103.7540607
FAMILYMART Bukit Baru,"19, Jalan PNBBU 1, Pusat Perniagaan Bukit Baru Utama, 75150 Bukit Baru, Melaka",2.2163858,102.2703715
FAMILYMART Sky Avenue,"Lot No. T1-03 of Level G, SkyAvenue, Genting Highlands Resort, 69000 Genting Highlands, Pahang",3.4239007,101.7938018
FAMILYMART Sunggala Gateway,"No. 18-G, Block B, Jalan PDS 1, PD Sunggala Gateway, Teluk Kemang, 71050 Port Dickson, Negeri Sembilan",2.4744956,101.8563308
FAMILYMART Taman Gaya,"No.102, Jalan Gaya 1, Taman Gaya, 81800 Ulu Tiram, Johor",1.562605,103.8000509
FAMILYMART Puncak Bertam,"2A, Jalan PB 1A, Taman Puncak Bertam, 75250 Melaka",2.2527724,102.2223758
"FAMILYMART One Maxim, Sentul","G-3A One Maxim, No.1 Jalan Pelangi 2, 51000 Sentul, Kuala Lumpur",3.2054617,101.6895363
"FAMILYMART Menara Ikhlas, Putrajaya","Ground Floor, Retail F&B 3, Menara Ikhlas, No. 17, Persiaran Perdana, Presint 3, 62100 Putrajaya",2.91877,101.6866381
FAMILYMART Melaka Sentral,"TZB14/TZB15, Zone B Terminal, Melaka Sentral, Jalan Tun Abdul Razak, Peringgit, 75300 Melaka",2.2304278,102.2759631
FAMILYMART Malim Jaya,"No. 13, Jalan Rahmat 2, Taman Malim Jaya, 75250 Melaka",2.2400746,102.2338044
"FAMILYMART Seksyen 15, Bangi","No.17 GF, Jalan 15/1A, Seksyen 15, 43650 Bandar Baru Bangi, Selangor",2.9908839,101.7721143
FAMILYMART Alamanda Shopping Centre,"Lot G03-G04, Alamanda Shopping Centre, Jalan Alamanda, Precinct 1, 62000 Putrajaya",2.9395291,101.7106171
FAMILYMART Caltex Lebuh Spa,"Part of Lot 11723, Mukim Tanjung Minyak, Daerah Melaka Tengah, Melaka",2.2604032,102.2027234
FAMILYMART Petron Kota Masai,"Jalan Jambu Utama, Taman Pasir Putih, 81700 Pasir Gudang, Johor",1.4874688,103.9503708
FAMILYMART Sunway Velocity Medical Center,"L1,SunwayMedicalCentreVelocity, Lingkaran SV, Sunway Velocity, 55100 Kuala Lumpur",3.127871400000001,101.7248453
"FAMILYMART Jalan Serampang, Pelangi","No.21, Jalan Serampang, Taman Sri Tebrau, 80050 Johor Bahru",1.4843498,103.7674843
FAMILYMART Damansara Heights,"No. 28-G, Jalan Medan Setia 2, Plaza Damansara, Bukit Damansara, 50490 Kuala Lumpur",3.1490859,101.6532342
FAMILYMART Olive Hill Business Park,"50-LG, Jalan BS 1/1, Pusat Perdagangan Olive Hill, Taman Bukit Serdang, Seksyen 1, 43300 Seri Kembangan, Selangor",3.0130103,101.6959612
FAMILYMART Teluk Pulai,"No. 39, Ground Floor, Jalan Teluk Pulai, 41100 Klang, Selangor",3.0406501,101.4338393
FAMILYMART Port Dickson,"No. 7, Ground Floor, Jalan Pusat Perniagaan Impian 1, Pusat Perniagaan Impian, 71009 Port Dickson, Negeri Sembilan",2.5554675,101.807716
FAMILYMART Caltex Jalan Besar (Seri Kembangan),"Lot 49358, Jalan Besar, 43300 Seri Kembangan, Selangor",3.026786,101.710357
"FAMILYMART Old Street, Batu Pahat","Old Street Commercial Centre, No. 22 (Ground Floor), Jalan Rotan Utama, Taman Sri Jaya, 83000 Batu Pahat, Johor",1.8639839,102.9538761
FAMILYMART Taman Setia Indah,"No.2, Jalan Setia 3/2, Taman Setia Indah 81100 Johor Bahru, Johor",1.5722185,103.7568275
FAMILYMART Caltex Taman Impian Emas,"Part of PTD 107072, Jalan Seri Impian 1, Taman Impian Emas, 81300 Skudai, Johor",1.5446924,103.6834109
FAMILYMART Petron Rasah Kemayan,"PT9770, Persiaran Rasah Kemayan 1, Seremban 2, 70300 Seremban, Negeri Sembilan",2.6915803,101.8939841
FAMILYMART Rawang,"No. A1-G, Jalan Rawang, Pusat Perniagaan R.E.E.F 2, 48000 Rawang, Selangor",3.3070778,101.58638
FAMILYMART Jalan Pesta,"2 Jalan Pesta 1, Pusat Perdagangan Mega, Jalan Sakeh,84000 Muar",2.0507928,102.5833442
FAMILYMART Caltex Setiawangsa,"12914, Jalan 37/56, Taman Setiawangsa, 54200 Kuala Lumpur, Selangor",3.1125743,101.7486201
FAMILYMART Kota Emas,"No. 50-G, Jalan Emas 2, Pusat Perniagaan Kota Emas, 82000 Pontian, Johor",1.4801527,103.3996165
"FAMILYMART Pusat Perniagaan Haji Manan, Kluang","108, Jalan Haji Manan, Kampung Masjid Lama, 86000 Kluang, Johor",2.0374656,103.3184849
FAMILYMART Kuala Pilah,"PT 3173, Taman Melang Shoplot, Jalan Melang, 72000 Kuala Pilah, Negeri Sembilan",2.7361183,102.2254332
FAMILYMART Parit Raja,"No 22, Jalan Universiti 1, Taman Universiti Parit Raja, Batu Pahat",1.848631,103.0741501
FAMILYMART Karpal Singh Drive,"No.29C-01-19 & No. 29C-01-20, Maritime, Persiaran Karpal Singh, 11600 Jelutong, Penang",5.3978493,100.3292123
FAMILYMART Caltex Jalan Kapar,"A portion of Lot 2740, Jalan Kapar Batu 5, 42100 Klang, Selangor",3.0869554,101.3970858
FAMILYMART Caltex Setia Alam,"No.2, Jala Setia Utama AR U13/AR, Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor",3.125615,101.4662574
FAMILYMART Auto City,"Juru Interchange, Auto-City, No. 1824-G1 & 1823-G3, Jalan Perusahaan, 13600 Prai, Penang",5.3377823,100.4313922
"FAMILYMART Jalan Burma, Penang","No.306-F, Jalan Burma,
10350 Penang",5.432387900000001,100.3109549
FAMILYMART Paradigm JB,"Lot GF-18,19,20,21&22, Ground Floor, Paradigm Mall, Johor Bahru, Johor",1.516239,103.6851193
FAMILYMART Caltex Raja Uda,"Part of Lot 2219, Section 1, Jalan Raja Uda, Taman Tanjung Aman, 12300 Butterworth, Pulau Pinang",5.4299288,100.3845292
"FAMILYMART Pekan Sentral, Pekan Nanas","No 111, Jalan Industri 8, Taman Perindustrian Pekan Nenas, 81500 Pontian, Johor",1.4957436,103.5253848
FAMILYMART Farlim,"16E, Farlim Business Center, Lebuhraya Thean Teik, Bandar Baru Air Itam, 11500 Pulau Pinang",5.3914133,100.2834013
FAMILYMART Tanjung Karang,"No 9, PB1/1 Pusat Bandar Tanjung Karang, 45500 Tanjung Karang, Selangor",3.4972926,101.199753
FAMILYMART Caltex Sg. Dua,"Caltex Sg Dua North Bound, PMT 10359, KM 132.5, Lebuhraya Utara Selatan, 13600 Permatang Pauh, Pulau Pinang",5.422931699999999,100.4129362
FAMILYMART Bandar Damai Perdana,"No. 18, Jalan Damai Perdana 1/9a, Bandar Damai Perdana, 43200 Cheras, Selangor",3.045922,101.7393
FAMILYMART Petron Hulu Langat,"2, Jalan Hulu Langat Jaya 1, Taman Hulu Langat Jaya, 43200 Cheras, Selangor",3.0702141,101.7810077
"FAMILYMART Vista Valley, Semenyih","No 20-G, Jalan Vista Valley 3, Semenyih Vista Valley, 43500 Semenyih, Selangor",2.9580434,101.8387359
FAMILYMART Icon City,"No. 3(Ground & Mezzanine Floor), Jalan Icon City, Bukit Tengah, 14000 Bukit Mertajam, Pulau Pinang",5.3418376,100.4336764
FAMILYMART Desa Pandan,"No. 4, Jalan 1/76D, Desa Pandan, 55100 Kuala Lumpur",3.1470036,101.7368822
FAMILYMART Yong Peng,"No.2 (Tingkat Bawah), Jalan Cahaya Baru, Taman Sembrong, 83700 Yong Peng, Johor",2.0057756,103.0686512
"FAMILYMART D'Garden, Batu Pahat","PTD 61251GF, Jalan Desa Botani 1, 83000 Batu Pahat, Johor",1.8680352,102.9326191
FAMILYMART Bandar Saujana Putra,"41-G, Jalan SP1/1, Bandar Saujana Putra, 42610 Jenjarom, Selangor",2.952376,101.5783104
FAMILYMART Sg Besar,"No.2, Jalan Bunga Loceng Kuning, Sungai Besar Sentral, 45300 Sungai Besar, Selangor",3.6732249,100.9848666
FAMILYMART Caltex Taman Perling,"PTD 30504, Jalan Layang, Taman Perling, 81200 Johor Bahru, Johor",1.4760497,103.6792995
FAMILYMART Sekinchan,"No. 12, Jalan Indah 2/1, Taman Indah 2, 45400 Sekinchan, Selangor",3.5023633,101.1044025
FAMILYMART Chulia Street,"Ground Floor, Kim Mansion Building, 332, Chulia Street, 10200 Penang",5.4188215,100.3356597
FAMILYMART Masjid Tanah,"SU1463, Jalan Masjid Tanah Ria Utama, Taman Masjid Tanah Ria, 78300 Masjid Tanah, Melaka",2.3515438,102.1162641
FAMILYMART Jalan Perak,"338-D (Ground Floor), Jalan Perak, Taman Desa Green, 11600 Pulau Pinang",5.3995706,100.3148384
FAMILYMART Taman Segar,"No 55, Jalan Manis 4, Taman Segar, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.09022,101.7424458
FAMILYMART Caltex Setia Sentral,"No.1, Jalan Setia Sentral, Pusat Perniagaan Setia Sentral, 14000 Bukit Mertajam, Penang",5.358440799999999,100.4211699
FAMILYMART Tampin,"PS2, Jalan Besar, Pulau Sebang, 78000 Alor Gajah, Malacca",2.4640333,102.2307329
FAMILYMART Gemas,"PT 4617 Bawah, Jalan Pekan Gemas, Pekan Gemas, 73400 Gemas, Negeri Sembilan",2.667298,102.5730619
FAMILYMART Caltex Jalan Song Ban Kheng,"Lot 2551, Mukim, 10, Jalan Song Ban Kheng, 14000, Pulau Pinang",5.3516178,100.4500936
FAMILYMART Jalan Kebun,"No.25, Jalan Kebun Nanas 7A/KS8, 41200 Klang, Selangor",2.9610008,101.5172183
"FAMILYMART Sri Utama, Segamat","Pusat Komersial Sri Utama, NO.5 - 7, Jalan Utama 3/2, Taman Utama, 85000 Segamat, Johor",2.5146954,102.822582
FAMILYMART Jasin,"JA 9954, Bandar Baru Jasin 3, 77200 Malacca",2.3108792,102.4306524
"FAMILYMART Bukit Sentosa, Rawang","17-G, Seksyen BS1, Jalan Orkid 1F/2, Bukit Sentosa, 48300 Rawang, Selangor",3.4041135,101.5601014
FAMILYMART Bukit Bakri,"No 3, Jalan Sinar Bakri 2, Pusat Perniagaan Sinar Bakri 84000 Muar, Johor",2.0412999,102.6562283
FAMILYMART Caltex Salak South,"A portion of Lot 166, Salak South Garden, 57100 Kuala Lumpur",3.082905,101.6962898
FAMILYMART Teluk Intan,"No.1B, Ground Floor, Laman Intan, Bandar Baru Teluk Intan, Jalan Changkat Jong, 36000 Perak",4.0204747,101.0234828
"FAMILYMART Prima Saujana, Kajang","A-G-8, Jalan Prima Saujana 2, 1A, Seksyen 2, Taman Prima Saujana, 43000 Kajang, Selangor",3.06843,101.5162801
FAMILYMART Caltex Segamat Baru,"A portion of No. 1-1A, Jalan Nagasari, Bandar Segamat Baru, 85000 Segamat, Johor",2.4932128,102.8524692
FAMILYMART Bahau,"No. 1, Jalan Kiara 1, Pusat Perniagaan Kiara, 72100 Bahau, Negeri Sembilan",2.8100213,102.3952351
"FAMILYMART Greentown, Ipoh","No. 4 (Ground Floor), Persiaran Greentown 10, Greentown Business Centre, 30450 Ipoh, Perak",4.5993756,101.0963634
FAMILYMART Tangkak,"LC 171, Jalan Muar, Kampung Tanjong Batu 15, 84900 Tangkak, Johor",2.262259100000001,102.5366292
FAMILYMART Caltex Taman Banting Baru,"Lot 2352, Jalan Sultan Abdul Samad, Taman Banting Baru, 42700 Banting, Kuala Langat, Selangor",2.8179297,101.5192484
FAMILYMART Merlimau,"JC 19, Jalan BMU 1, Bandar Baru Merlimau Utara,77300 Merlimau, Melaka",2.1667789,102.4320607
FAMILYMART Bentong,"P11,  Jalan MG1, Pusat Perniagaan Mutiara Gemilang,28700 Bentong, Pahang",3.5388664,101.9018859
